Total Pressure [bar],Feed_yCO2,Feed_yCH4,partial_pressure_CO2 [bar],partial_pressure_CH4 [bar],IAST Loading CO2 [mmol/g],IAST Loading CH4 [mmol/g],Selectivity_CO2_CH4,Adsorbed_xCO2,Adsorbed_xCH4
7.0,0.8,0.19999999999999996,5.6000000000000005,1.3999999999999997,3.607936715769339,0.22609783444452225,3.9893534635496692,0.9410287436163269,0.058971256383673065
8.2,0.8,0.19999999999999996,6.56,1.6399999999999995,3.982854467204246,0.24504153726628122,4.063448294968217,0.9420417302111553,0.05795826978884466
1.0,0.9,0.09999999999999998,0.9,0.09999999999999998,0.8347558390339792,0.025809682227280726,3.5936377660441003,0.9700084635165797,0.029991536483420348
2.0,0.9,0.09999999999999998,1.8,0.19999999999999996,1.5448115860055003,0.0467585116774252,3.6708981022006877,0.9706211421378812,0.0293788578621188
3.0,0.9,0.09999999999999998,2.7,0.29999999999999993,2.15699067434117,0.06398137735675148,3.745865443721367,0.971192173576503,0.02880782642349689
4.0,0.9,0.09999999999999998,3.6,0.3999999999999999,2.690620887734461,0.07828471235969314,3.818853865635023,0.9717272006828145,0.02827279931718551
5.0,0.9,0.09999999999999998,4.5,0.4999999999999999,3.160158256631143,0.0902627702398087,3.8900722218957484,0.9722304373822301,0.02776956261776986
6.0,0.9,0.09999999999999998,5.4,0.5999999999999999,3.5766700457309697,0.10036359845041076,3.9596804916809965,0.9727052814408624,0.027294718559137565
7.0,0.9,0.09999999999999998,6.3,0.6999999999999998,3.9487876351704863,0.10893122778505425,4.027809018653218,0.9731545650489666,0.02684543495103342
8.2,0.9,0.09999999999999998,7.38,0.8199999999999997,4.346257193998893,0.11756213845819793,4.107763539633042,0.9736633296057959,0.026336670394203954
1.0,0.91,0.08999999999999997,0.91,0.08999999999999997,0.8435475598376027,0.02321146436953921,3.594248915754019,0.9732203949179858,0.026779605082014157
2.0,0.91,0.08999999999999997,1.82,0.17999999999999994,1.5603380732302279,0.04202486599103514,3.6720914263620164,0.97377319147717,0.026226808522829992
3.0,0.91,0.08999999999999997,2.73,0.2699999999999999,2.177765335028416,0.05747204794991269,3.7476197989453635,0.9742881680542876,0.02571183194571236
4.0,0.91,0.08999999999999997,3.64,0.3599999999999999,2.7155392142007284,0.07028505400820387,3.821151113608454,0.9747704638766064,0.025229536123393626
5.0,0.91,0.08999999999999997,4.55,0.44999999999999984,3.18838231524198,0.08100254707331707,3.892896286444498,0.9752239181116312,0.024776081888368773
6.0,0.91,0.08999999999999997,5.46,0.5399999999999998,3.607553037681929,0.09003013863786073,3.9630168871104834,0.9756516258472736,0.024348374152726397
7.0,0.91,0.08999999999999997,6.37,0.6299999999999998,3.981822874311114,0.09767891313422843,4.031644551140121,0.976056166114491,0.023943833885509025
8.2,0.91,0.08999999999999997,7.462,0.7379999999999997,4.381351804353391,0.1053748336816383,4.11218213100126,0.9765140954235206,0.023485904576479255
1.0,0.92,0.07999999999999996,0.92,0.07999999999999996,0.8523293530961467,0.020617102301421292,3.594859977791092,0.9763821684893244,0.023617831510675643
