Pressure (bar),10.1002chem.200902144.Isotherm1-1-preexp.json,10.1002chem.200902144.Isotherm4.json,10.1016j.ces.2011.09.009.isotherm6.json,10.1016j.memsci.2011.09.040.Isotherm2.json,10.1016j.seppur.2019.115850.Isotherm8.json,10.1021jp206959k.Isotherm6.json,Consensus_Mean_mmol_g,Consensus_Std_mmol_g,Consensus_SEM_mmol_g,Consensus_CI_Lower_mmol_g,Consensus_CI_Upper_mmol_g
0.1434091670641038,0.042983112983005646,0.035539838032802154,0.04135103332470597,0.03852191474741064,0.053649415508269155,0.041621057868328856,0.04111927973086278,0.0016221644704340987,0.0008110822352170494,0.03853805406811458,0.043700505393610985
0.17127029309740407,0.05129277712211724,0.0424177739680083,0.049350381095045324,0.045744436393704846,0.06401317549553776,0.049672394560937055,0.04901499729295112,0.002026666166916567,0.0010133330834582834,0.045790119165477,0.05223987542042524
0.2045441996365451,0.06119841602221744,0.050619953691958444,0.05888844011537173,0.054283306287335104,0.0763638588102985,0.05927233177076328,0.05841062354892189,0.0025385716644758397,0.0012692858322379198,0.05437118954176666,0.06245005755607712
0.2442824663186669,0.07300185950026004,0.06039827639295796,0.07025725854190815,0.06436599520610217,0.09107563644176091,0.07071474485211536,0.06958496452509642,0.0031875223472260386,0.0015937611736130193,0.06451290516662617,0.07465702388356668
0.29174097068880617,0.08705991998733154,0.07205118514812331,0.08380255643780433,0.07625524338883435,0.10859012647791039,0.08434749451167411,0.08286630358141109,0.004011328689252348,0.002005664344626174,0.07648338449821514,0.08924922266460704
0.3484195786177183,0.10379347015227466,0.08593165203943287,0.09993280221561446,0.09025323001755202,0.12942720634484917,0.10058154610086362,0.09864026212157619,0.005058090151048166,0.002529045075524083,0.0905917119650772,0.10668881227807517
0.4161095456614457,0.12369759484948209,0.1024562553103823,0.11912946810210004,0.10670580962250653,0.1541969491649233,0.11990126863902074,0.11735853530327735,0.006388777976943835,0.0031943889884719174,0.10719256386927416,0.12752450673728052
0.4969501274225172,0.1473527409325847,0.1221153669072889,0.14195844893823786,0.12600665190619778,0.18361250452556727,0.14287589497011638,0.1395484341867842,0.008080334731373904,0.004040167365686952,0.1266908184811237,0.1524060498924447
0.5934961880114781,0.17543666376130665,0.14548439477842023,0.16908252904428875,0.14860106123268316,0.2185035600609692,0.17017202321204847,0.16582306931258176,0.010229323514912323,0.0051146617574561615,0.14954593289978668,0.18210020572537683
0.7087989432884801,0.20873678398228002,0.1732359081130919,0.20127462931399692,0.1749891818392504,0.2598297547131798,0.2025668848080346,0.19689186998589048,0.012956119289649305,0.006478059644824652,0.1762757930038072,0.21750794696797376
0.8465023906727264,0.24816230314934143,0.20615229946363714,0.23943134247207534,0.205728216597019,0.30869304473934434,0.2409618772228298,0.2335709348603164,0.016409565771351754,0.008204782885675877,0.20745965388013765,0.25968221584049517
1.010958473061661,0.2947550611165595,0.24513838627912163,,0.24143320480748678,,0.28639553779610133,0.2741946012400492,0.02341583836772249,0.013519140584905347,0.2160264340992603,0.33236276838083806
1.2073646164695884,0.34969763297115114,0.2912330045034445,,,,0.34005469675419425,0.3448761648626727,0.004821468108478444,0.003409292794779784,0.30155699260575797,0.3881953371195874
1.441927988088433,0.4143165485573201,0.34561817813347934,,,,0.40328197315947356,0.4087992608583968,0.005517287698923262,0.003901311545665761,0.3592283976185613,0.4583701240982323
1.722061665938451,0.4900777843142428,0.40962384764073556,,,,0.4775770620398715,0.4838274231770572,0.0062503611371856616,0.004419672744968841,0.4276701564114542,0.5399846899426601
2.0566189198020037,0.5785708758261553,0.4847254116506415,,,,0.5645884268956829,0.571579651360919,0.006991224465236201,0.004943542228165812,0.5087659916866465,0.6343933110351916
2.456173007592366,0.6814772463091535,0.5725305205711714,,,,0.6660911333868464,0.6737841898479999,0.007693056461153536,0.0054398123917326485,0.6046648198708645,0.7429035598251353
2.93335132976707,0.8005178532260181,0.674750758855054,,,,0.7839457931353105,0.7922318231806643,0.008286030045353776,0.0058591080341851304,0.7177847969254338,0.8666788494358948
3.5032345023124996,0.9373753557785521,0.7931532563533634,,,,0.920033201909904,0.9287042788442281,0.008671076934324062,0.0061313773004508035,0.8507977435483879,1.0066108141400685
4.183832960495482,1.0935871565700515,0.9294871908994288,,,,1.0761596622646887,1.0848734094173702,0.008713747152681361,0.00616154970120596,1.0065834974201453,1.163163321414595
4.996656155839299,1.270408395986262,1.085381025878418,,,,1.2539297098507707,1.2621690529185163,0.008239343067745653,0.005826095355725322,1.1881414925146943,1.3361966133223384
